titulo,sinopse
Praça Paris,"Rio de Janeiro. Camila (Joana de Verona) é uma terapeuta portuguesa que trabalha na UERJ, onde atende Glória (Grace Passô), ascensorista da universidade. Ao longo das sessões Camila se depara com uma realidade bastante violenta, já que Glória foi estuprada pelo próprio pai quando criança e seu irmão, Jonas (Alex Brasil), é um perigoso bandido que está na prisão. Cada vez mais assustada com os relatos que ouve, ela se sente ameaçada ao mesmo tempo em que Glória passa a vê-la como algo essencial em sua vida."
A Cidade do Futuro,"Gilmar (Gilmar Araújo) e Igor (Igor Santos) se envolvem amorosamente, mas precisam lidar com a inesperada gravidez de Milla (Milla Suzart). Juntos, os três formam uma família em meio às terras secas da Bahia, em um local marcado pelo machismo, pela homofobia e por uma das maiores migrações compulsórias já registradas."
Estrelas de Cinema Nunca Morrem,"Quando o jovem ator britânico Peter Turner (Jamie Bell) encontra Gloria Grahame (Annette Bening) pela primeira vez, ele nem suspeita que se trata de uma atriz famosa, que já venceu um Oscar durante a juventude. Décadas mais tarde, no entanto, ela foi esquecida e leva uma vida decadente. Aos poucos, os dois se aproximam e desenvolvem uma história de amor, apesar do preconceito da sociedade. O destino separa os dois mas, anos mais tarde, Gloria reaparece para Peter confessando sofrer de uma doença, e pede ajuda. Peter deve decidir se aceita cuidar dela, enquanto relembra os motivos que aproximaram o casal no passado."
"Rogério Duarte, o Tropikaoslista","Rogério Duarte é um dos nomes mais importantes da Tropicália, lendário movimento cultural brasileiro da década de 60. O artista plástico foi um dos primeiros a denunciar publicamente as torturas cometidas no regime militar. Durante a ditadura, sua atuação política e seus feitos culturais mobilizaram muitos artistas e inspiraram toda uma geração."
"Paulo, Apóstolo de Cristo","Paulo (James Faulkner) era conhecido como um dos perseguidores de cristãos mais cruel de seu tempo. Mas tudo muda quando ele tem um encontro com o próprio Jesus. A partir desse momento, esse jovem se torna um dos apóstolos mais infuentes do cristianismo."
Verdade ou Desafio,"Olivia e seu grupo de amigos de férias no México são convencidos a brincar de ""Verdade ou Desafio"", em um prédio em ruínas, pelo misterioso Carter. Ao passar a maldição para os recém-conhecidos, Carter alerta o grupo sobre os riscos e regras do jogo, mas não é levado a sério até que essa presença demoníaca começa a assombrar os participantes — encurralados em uma trama de chantagens e perigos que parece conduzi-los a uma única saída: a morte."
Gringo - Vivo ou Morto,"Funcionário dedicado e marido exemplar, Harold Soyinka (David Oyelowo) leva uma vida pacata em Chicago. Enfrentando problemas financeiros, ele descobre que a empresa em que trabalha está negociando uma fusão que pode resultar em sua demissão. Aos poucos David passa a acreditar nesta possibilidade, devido a atos suspeitos de seu chefe e ""melhor amigo"" Richard Rusk (Joel Edgerton). Quando Richard e sua sócia Elaine Markinson (Charlize Theron) resolvem acompanhá-lo em uma viagem de trabalho corriqueira ao México, David vê a situação como a oportunidade ideal para fingir ter sido sequestrado e, desta forma, pedir um polpudo sequestro."
Ciganos da Ciambra,"Em uma pequena comunidade romani na Calábria, Pio Amato (Pio Amato), de 14 anos, está desesperado para crescer e se tornar um homem. Assim como seu irmão Cosimo (Damiano Amato), ele bebe, fuma e é um dos poucos a se infiltrar facilmente entre as facções da região, os italianos locais, os refugiados africanos e seus companheiros ciganos. Certo dia, seu irmão desaparece, fazendo com que Pio assuma seu lugar. Com uma função tão importante nas mãos, ele deve encarar uma escolha muito complicada."
O Parque,"Tímidos e amedrontados por seus próprios sentimentos, um menino e uma menina têm seu primeiro encontro em um belo parque. Com o tempo o medo inicial se transforma em curiosidade e, ao se aproximarem, desenvolvem uma conexão única seguida de paixão. O problema é que a chegada da noite traz uma situação bastante desagradável: lá vem a hora da separação."
Teu Mundo Não Cabe nos Meus Olhos,"Vitório (Edson Celulari), cego de nascença, é dono de uma pizzaria herdada de seu pai no tradicional bairro do Bixiga, em São Paulo, e é famoso por oferecer a melhor pizza dos arredores. Vivendo uma vida feliz com a mulher Clarice (Soledad Villamil) e a filha Alicia (Giovana Echeverria), ele sente que superou todas as dificuldades da cegueira e que deu a volta por cima. Mas, ao descobrir que existe a possibilidade de enxergar, Vitório inicia um conflito consigo mesmo e precisa tomar uma grande decisão."
Os Fantasmas de Ismael,"Ismaël (Mathieu Amalric) é um cineasta que, após um longo tempo, voltou a amar. Traumatizado devido ao súbito desaparecimento de sua esposa, Carlotta (Marion Cotillard), ocorrido há 21 anos, ele enfim consegue ter um relacionamento duradouro com a astrofísica Sylvia (Charlotte Gainsbourg). Entretanto, a reaparição de Carlotta abala não só o relacionamento, como a própria estabilidade alcançada por Ismaël."
A Noite do Jogo,"Max (Jason Bateman) e Annie (Rachel McAdams) participam de um grupo de casais que organizam noites de jogos. O irmão de Max, Brooks (Kyle Chandler), chega decidido a organizar uma festa de assassinato e mistério e acaba sequestrado, levando todos a acreditarem que o sumiço faz parte da misteriosa brincadeira. Os seis amigos competitivos precisam então resolver o caso para vencer o jogo, cujo rumo vai se tornando cada vez mais inesperado."
Desejo de Matar,"Um homem gentil tem sua vida transformada quando sua família é abalada por um ato de violência que machuca a todos. Em busca de justiça, ele se transforma em uma máquina mortífera, para conseguir fazer justiça com as próprias mãos."
"Hare Krishna! O Mantra, o Movimento e o Swami que começou tudo","Fundador do movimento espiritual Hare Krishna, Srila Prabhupada chegou aos Estados Unidos em 1965 com 70 anos e praticamente nenhum dinheiro ou contatos. Morando em Nova Iorque, ele começou a dar palestras interpretando antigos sânscritos indianos na época do auge da contracultura, e os jovens hippies, inclusive George Harrison dos Beatles, rapidamente se juntaram. O swami foi um incansável promotor até sua morte em 1977, tendo viajado por todo o mundo para espalhar sua mensagem."
Esplendor,"Misako (Ayame Misaki) é uma cineasta apaixonada pelas versões cinematográficas destinadas a deficientes visuais. Durante a exibição de um dos seus filmes, ela conhece Masaya Nakamori (Masatoshi Nagase), um fotógrafo que está perdendo a sua visão, mas que guarda um acervo de fotografias que atrairá Misako e fará com que ela se conecte com seu passado."
Acertando o Passo,"Casada há 40 anos, Lady Sandra Abbott (Imelda Staunton) descobre que seu marido tem tido um caso amoroso com sua melhor amiga. Ela decide começar a fazer aulas de dança comunitária junto da irmã e acaba descobrindo um novo sopro de diversão e romance em sua vida."
O Renascimento do Parto 2,O Brasil é o país com o maior número de cesáreas no mundo. O documentário busca elucidar os mitos e torno do parto normal e divulgar os cuidados para a realização dele.
À Sombra de Duas Mulheres,"Pierre (Stanislas Merhar) e Manon (Clotilde Courau) formam um casal de documentaristas que sobrevivem fazendo trabalhos temporários para poder dar suporte aos filmes que desejam realizar. Apesar de estar apaixonado por Manon, Pierre acaba conhecendo Elizabeth (Lena Paugam)  e, a partir daí, deseja manter o relacionamento com as duas mulheres. No entanto, as coisas não sairão como ele espera."
Todos os Paulos do Mundo,"A carreira de Paulo José como ator é revista a partir de seus filmes, dos icônicos ""Todas as Mulheres do Mundo"" a ""Macunaíma"", passando ainda por ""O Padre e a Moça"", ""Juventude"" e ""O Palhaço"". Ícone do cinema brasileiro, a trajetória de Paulo José serve também como retrato de uma era no audiovisual do país."
Para Ter Onde Ir,"No Pará, uma viagem nada tranquila de três mulheres bastante diferentes: Eva (Lorena Lobato), formal e cheia de incertezas; Melina (Ane Oliveira), que busca a liberdade e o amor; e Keithylennye (Keila Gentil), que lamenta ter abandonado a adorada carreira de cantora e dançarina de tecnobrega."
Deadpool 2,"Quando o super soldado Cable (Josh Brolin) chega em uma missão para assassinar o jovem mutante Russel (Julian Dennison), o mercenário Deadpool (Ryan Reynolds) precisa aprender o que é ser herói de verdade para salvá-lo. Para isso, ele recruta seu velho amigo Colossus e forma o novo grupo X-Force, sempre com o apoio do fiel escudeiro Dopinder (Karan Soni)."
O Processo,"O documentário acompanha a crise política que afeta o Brasil desde 2013 sem nenhum tipo de abordagem direta, como entrevistas ou intervenções nos acontecimentos. A diretora Maria Augusta Ramos passou meses no Planalto e no Congresso Nacional captando imagens sobre votações e discussões que culminaram com a destituição da presidenta Dilma Rousseff do cargo."
A Abelhinha Maya: O Filme,"Maya é uma abelhinha muito querida, ela e seu melhor amigo, Willy, estão a procura de diversão. Um dia, acidentalmente, ela surpreende de maneira negativa a Imperatriz de Buzztropolis e, como consequência, é forçada a participar dos Jogos de Mel para conseguir salvar sua colmeia. Na competição, a abelhinha irá conhecer novos amigos, além de adversários extremamente habilidosos, enfrentando situações inéditas e desafiadoras."
Querida Mamãe,"Heloísa (Letícia Sabatella) é uma médica que sofre de infelicidade crônica, tendo problemas com o marido (Marat Descartes) e a própria mãe (Selma Egrei), a quem constantemente acusa de tê-la preterida pela irmã, Beth. Após se separar do marido, Heloísa conhece no hospital em que trabalha a pintora Leda, que sofreu um acidente de carro. Grata pelo atendimento prestado, Leda deseja pintar um quadro da médica. Inicialmente reticente, ela aceita a proposta e, ao visitar o ateliê, acaba se envolvendo com a pintora. Entretanto, por mais que o novo relacionamento deixe Heloísa bem mais feliz, ela precisa lidar com o preconceito tanto de sua mãe quanto da própria filha."
Entre-Laços,"Tomo (Rinka Kakihara), de apenas 11 anos, é abandonada pela mãe e passa a viver com o tio, Makio (Kenta Kiritani), e sua namorada, Rinko (Toma Ikuta). Inicialmente com pensamentos confusos após descobrir que Rinko é uma mulher transexual, Tomo vai aos poucos descobrindo o verdadeiro sentido de família."
A Natureza do Tempo,"Argélia, tempos atuais. Um empresário da área imobiliária enfrenta problemas familiares; um motorista aceita fazer o complicado favor de conduzir uma jovem ao seu futuro marido; e um neurologista às vésperas do casamento e de uma aguardada promoção descobre que vem sendo acusado de estupro. Três vidas bastante diferentes, mas com traços em comum."
Paris 8,"Etienne se muda para Paris com a intenção de realizar o seu sonho de estudar cinema. Na faculdade ele conhece Mathias e Jean-Noel, dois jovens que compartilham objetivos similares aos seus. No entanto, ao longo do ano, nem tudo sai como o planejado e ele vivencia junto com os amigos uma série de situações inusitadas e inéditas."
Tully,"Marlo (Charlize Theron), mãe de três filhos, sendo um deles um recém-nascido, vive uma vida muito atarefada, e, certo dia, ganha de presente de seu irmão: uma babá para cuidar das crianças durante a noite. Antes um pouco hesitante, Marlo acaba se surpreendendo com Tully (Mackenzie Davis)."
Han Solo: Uma História Star Wars,"Em dificuldade financeira, o piloto Han Solo (Alden Ehrenreich) e sua namorada Qi'ra (Emilia Clarke) buscam algum trabalho. Eles conseguem pôr as mãos em uma substância valiosa, mas perigosa, que acaba levando à perseguição do Império e à separação entre os dois. Preocupado, Han usa toda a sua esperteza para se infiltrar num plano arriscado, mas que pode render a oportunidade de voltar à terra natal e reencontrar a sua amada. Caso ele falhe, vai ter que prestar contas ao perigoso Dryden Vos (Paul Bettany). No caminho, o piloto encontra parceiros importantes, como Chewbacca (Joonas Suotamo) e Lando Calrissian (Donald Glover), o proprietário original da Millennium Falcon."
Alguém Como Eu,"Helena (Paolla Oliveira) e Alex (Ricardo Pereira) são um casal que, como todos os outros, vivem diferentes fases em seu relacionamento. Depois de alguns meses de dúvidas sobre o seu namoro, Helena passa a imaginar como seria se Alex fosse uma mulher, mas sua obsessão pelo assunto vai transformar seus devaneios em algo que a atrapalha."
Antes que Eu Me Esqueça,"Aos 80 anos de idade, Polidoro (José de Abreu) é um soberbo juiz aposentado que vive sozinho e mal tem contato com o filho Paulo (Danton Mello), pianista fracassado. Quando sua filha mais próxima, Bia (Letícia Isnard), entra com uma ação para interditá-lo, ele decide investir seus fundos numa boate de striptease em Copacabana."
Colheita Amarga,"Ucrânia, 1930. Yuri (Max Irons), artista nascido numa família de guerreiros cossacos, se esforça para conseguir uma aprovação dos parentes e tem a vida transformada quando o Exército Vermelho invade seu país e sua família é perseguida pelo regime stalinista."
Uma Escala em Paris,"Gina (Lindsay Burdge), uma comissária de bordo americana, que depois de uma temporada sozinha e deprimida pelo suicídio de seu namorado, acaba conhecendo e se apaixonando por Jérôme (Damien Bonnard), um garçom parisiense. E, quando finalmente decide ficar na França para viver este amor, surge Clémence (Esther Garrel), um antigo amor de Jérôme que transformará a vida de Gina em uma rede de desilusões e loucura."
A Câmera de Claire,"Numa viagem de trabalho ao Festival de Cannes, Jeon Manhee (Minhee Kim) é demitida por sua chefe, que não revela o real motivo da demissão. Ao mesmo tempo, Claire (Isabelle Huppert), uma professora que sonha em trabalhar como poeta, sai pelas ruas tirando fotos em sua câmera Polaroid. Essas duas mulheres se conhecem e tornam-se amigas. Por acaso, as imagens de Claire ajudam Jeon a compreender melhor o momento pelo qual está passando."
A Vida Extra-ordinária de Tarso de Castro,"Tarso de Castro foi um dos fundadores do maior jornal independente da história do país: o Pasquim, muito ativo entre os anos 1960 e 1980. Ele enfrentou a pressão da ditadura para criar histórias satíricas e críticas em relação ao governo e à cultura nacional, junto de nomes como Millôr, Ziraldo e Jaguar. O documentário investiga os seus métodos, seus amores e suas polêmicas."
Plano-Sequência dos Mortos,"Um grupo de cineastas amadores decide usar um prédio abandonado para filmar um grande plano-sequência envolvendo mortos-vivos e experimentos científicos para que possam usar em um filme de terror com baixo orçamento. A gravação se complica quando eles são atacados por zumbis de verdade, mas a equipe decide aproveitar o momento para deixar tudo registrado."
Réquiem para Sra. J.,"Sra. J. (Mirjana Karanovic) passa seus dias desolada. Viúva e desempregada, ela se sente cansada e solitária, mesmo morando com suas duas filhas e sua sogra. Entendiada, decide cometer suicídio, mas antes precisa resolver algumas tarefas importantes, como preparar sua lápide ao lado do finado esposo."
Rio Mumbai,"Nelson (Pedro Sodré) é um jovem jornalista casado com Maria (Clara Choveaux). Um dia, o rapaz passa a presenciar estranhas experiências e é convencido por seu vizinho, um velho cientista (Bruce Gomlevsky), de que tais acontecimentos estão ligados a viagens no tempo. Maria, por sua vez, descobre por meio de um diário de bordo que há uma conexão atemporal entre eles."
Não Se Aceitam Devoluções,"Juca Valente (Leandro Hassum) é dono de um quiosque no litoral de São Paulo e só quer saber de diversão. Eterno namorador, ele detesta grandes responsabilidades e não pensa em ter nada sério com ninguém. Mas sua vida toma um rumo totalmente diferente quando uma ex-namorada americana larga um bebê com ele e desaparece. Juca então parte para os Estados Unidos na intenção de devolver a criança, sem imaginar que começaria a gostar da ideia de ser pai."
Eu Só Posso Imaginar,"Bart Millard (J. Michael Finley) é o vocalista da banda cristã MercyMe e tem um relacionamento conturbado com seu pai, que sempre o tratou de maneira dura e nunca entendeu seu amor pela música. Conseguindo forças através de Deus, Bart resolve então eternizar sua relação em uma canção, ""I Can Only Imagine""."
Paraíso Perdido,"Paraíso Perdido é um clube noturno gerenciado por José (Erasmo Carlos) e movimentado por apresentações musicais de seus herdeiros. O policial Odair (Lee Taylor) se aproxima da família ao ser contratado para fazer a segurança do jovem talento Ímã (Jaloo), neto de José e alvo frequente de homofóbicos, e aos poucos o laço entre o agente e o clã de artistas românticos vai se revelando mais e mais forte - com nós surpreendentes."
Gnomeu e Julieta: O Mistério do Jardim,"Gnomeu e Julieta chegam em Londres, na Inglaterra, onde são encarregados como os novos responsáveis pela manutenção do jardim. A nova tarefa cria alguns atritos entre o casal, o que faz com que Gnomeu tente impressioná-la com uma flor que remete ao início deles. O plano dá errado e, ao retornar para casa, Gnomeu e Julieta descobrem que todos os seus amigos gnomos desapareceram. Logo eles encontram Sherlock Gnomes, que está investigando o sumiço deles ao lado de seu fiel companheiro Watson."
Lua de Júpiter,"Aryan, um jovem migrante, é baleado ao tentar ilegalmente cruzar a fronteira da Hungria. Depois do choque provocado pelo acidente, descobre que adquiriu o poder de levitar e agora, preso em um campo refugiados, precisa contar com a ajuda do Dr. Stern, que tem interesses muito específicos na habilidade sobrenatural."
A Amante,"Hedi (Majd Mastoura) é um homem introvertido, que não espera muito da vida. Ele permite que todos tomem decisões por ele, como sua autoritária mãe, que planeja seu casamento; seu chefe, que o faz trabalhar em datas comemorativas; e seu irmão, que sempre diz como ele deve se comportar. Em uma viagem profissional Hedi conhece Rim (Rym Ben Messaoud), com quem inicia passional relação amorosa. Agora, durante o tempo em que os preparativos do matrimônio acontecem, Hedi é forçado a finalmente tomar uma decisão."
Em um Mundo Interior,"O documentário registra a vida de famílias de classes sociais e regiões distintas cujos filhos manifestam transtornos sensoriais ou cognitivos, buscando compreender a percepção do mundo pelo ponto de vista de jovens com Transtornos do Espectro do Autismo."
João de Deus - O Silêncio é uma Prece,"A história do famoso médium João de Deus desde sua infância paupérrima no interior de Goiás até o presente momento, onde ele incorpora médicos e parece ter adquirido poderes curativos famosos internacionalmente. Ademais, o documentário também relata a descoberta do dom paranormal e narra o bullying que o médium sofreu daqueles que duvidavam de sua sensibilidade."
Dedo na Ferida,"Abordando o sistema financeiro e suas contradições, o documentário faz um questionamento a respeito de um dos principais discursos das autoridades financeiras: de que não podemos gastar mais do que arrecadamos. Através de diversas entrevistas, é composto um panorama de como o capital pode influenciar a política, os governos e a vida cotidiana de qualquer pessoa."
A Superfície da Sombra,"O solitário Tony (Leonardo Machado) viaja até o extremo sul do país para um funeral de uma antiga amiga. Ele acaba se atrasando e perde a cerimônia, mas conhece Blanca (Giovana Echeverria), garota misteriosa que se oferece para guiá-lo pela cidade. Eles acabam começando uma relação amorosa enquanto estranhos acontecimentos passam a fazer parte da rotina de Tony no lugarejo."
Em Guerra por Amor,"Na Nova York de 1943, Arturo (Pif) quer se casar com Flora (Miriam Leone), mas para isso ele deve viajar até um vilarejo da Sicília a fim de conhecer seu sogro e pedir por sua aprovação no matrimônio. Porém, mediante a 2ª Guerra Mundial em voga, o jovem só conseguirá chegar a Itália de uma maneira: alistando-se no exército americano."
Oito Mulheres e um Segredo,"Recém-saída da prisão, Debbie Ocean (Sandra Bullock) logo procura sua ex-parceira Lou (Cate Blanchett) para realizar um elaborado assalto: roubar um colar de diamantes no valor de US$ 150 milhões, que a Cartier mantém sempre em um cofre. O plano é convencer a empresa a emprestá-lo para que a estrela Daphne Kluger (Anne Hathaway) use a joia no badalado Met Gala, um dos eventos mais chiques e vistosos de Nova York. Para tanto, Debbie e Lou reúnem uma equipe composta apenas por mulheres: Nine Ball (Rihanna), Amita (Mindy Kaling), Constance (Awkwafina), Rose (Helena Bonham Carter) e Tammy (Sarah Paulson)."
Vingança,"Três homens casados e ricos fazem anualmente uma espécie de caçada no deserto. Desta vez, um dos empresários decide trazer sua amante (Matilda Lutz). Quando ela é abandonada para morrer devido a uma série de acontecimentos, eles terão que lidar com as consequências de uma mulher que busca vingança."
As Boas Maneiras,"Ana (Marjorie Estiano) contrata Clara (Isabél Zuaa), uma solitária enfermeira moradora da periferia de São Paulo, para ser babá de seu filho ainda não nascido. Conforme a gravidez vai avançando, Ana começa a apresentar comportamentos cada vez mais estranhos e sinistros hábitos noturnos que afetam diretamente Clara."
Os Estranhos - Caçada Noturna,"Seguindo os acontecimentos do primeiro filme, uma nova família receberá a terrível visita de três psicopatas - que têm como único objetivo transformar suas vidas em um inferno na Terra."
No Olho do Furacão,"Um grupo de criminosos planeja roubar 600 milhões de dólares do tesouro americano durante a passagem de um furacão. No entanto, seus planos são interrompidos quando o fenômeno meteorológico atinge o nível 5, considerado o mais grave de todos, e eles precisam do código de segurança que apenas uma funcionária do banco tem conhecimento."
A Morte de Stalin,"União Soviética, 1953. Após a inesperada morte do ícone Josef Stalin (Adrian McLoughlin), o alto escalão do comitê do Partido Comunista se vê em momentos caóticos para decidir quem será o sucessor do líder soviético e quais rumos a nação seguirá a partir de então, uma enorme disputa que envolve até os complexos herdeiros do político."
Um Dia para Viver,"Um assassino (Ethan Hawke) ganha uma segunda chance quando seu empregador o traz de volta à vida temporariamente, logo após ter sido morto no trabalho. Ele ganha então 24 horas para realizar sua missão e se redimir."
Selfie para o Inferno,"Julia é uma vlogueira canadense totalmente conectada e habituada a compartilhar sua rotina com os seguidores, famosa especialmente pelas selfies que faz com frequência. Sua vida, no entanto, toma um rumo obscuro quando, ao visitar sua prima Hanna nos Estados Unidos, cai gravemente doente e coisas muito sinistras passam a acontecer envolvendo seu smartphone."
Anna Karenina: A História de Vronsky,"Durante a guerra russo-japonesa, em 1904, Sergey Karenin (Kirill Grebenshchikov), chefe de hospital, descobre que um dos oficiais feridos sob sua supervisão é o conde Vronsky (Max Matveev), a pessoa que arruinou sua mãe, Anna Karenina (Elizaveta Boyarskaya). Agora, ele procura maiores informações sobre o amante da mãe e que razão a levou a desistir da vida."
Bonifácio - O Fundador do Brasil,"José Bonifácio de Andrada e Silva foi um cientista, filósofo, estrategista e herói de guerra brasileiro que teve um papel decisivo no processo de emancipação do Estado brasileiro em relação a Portugal, sendo conhecido pelo título de Patriarca da Independência. Através de entrevistas com historiadores, a trajetória de sua vida, assim como suas aventuras, são reveladas em um formato inovador, que vai muito além dos livros de história."
Comboio de Sal e Açúcar,"Moçambique, 1988. Em meio à guerra civil, militares escoltam um trem de carga lotado de mercadorias e pessoas que buscam uma vida melhor. Muitos viajam para trocar além das fronteiras sal por açúcar, escasso localmente, e o grande desafio da jornada cheia de atritos é superar ataques surpresas e sabotagens de grupo paramilitar liderado por homem que, segundo as lendas, se transforma em macaco."
Los Territorios,"Depois do ataque ao jornal Charlie Hebdo em Paris, Ivan, o filho fútil de um importante jornalista argentino, embarca em uma jornada, perseguindo diferentes eventos e conflitos geopolíticos ao redor do mundo. No entanto, encontrar os acontecimentos na linha de frente é uma tarefa árdua. E ainda mais difícil do que se tornar um correspondente de guerra é marcar as fronteiras entre sua vida e o egocentrismo que guia Ivan, seu pai e os conflitos globais da atualidade."
O Muro,"Nas manifestações em 2015 no Brasil contra e a favor da então presidente Dilma Rousseff, o diretor Lula Buarque e a roteirista Isabel de Luca procuram destacar a voz das pessoas e suas opiniões sobre a política nacional. Para eles, o diálogo é tudo, já que na falta dele são construídos muros."
Caminho do Mar,"O Rio Paraíba do Sul é um dos mais importantes do Brasil, no entanto, ele não recebe a atenção, nem o reconhecimento que merece. Através de relatos de moradores ribeirinhos, pescadores e estudiosos, a história do rio, conhecido pelas suas águas cor de barro, é contada desde a nascente até a foz. Atualmente, ele é responsável por fornecer alimento e energia para o sudeste brasileiro, além disso, também foi fundamental durante o ciclo da cana, do café e do período de industrialização do país."
Sol da Meia-noite,"Katie (Bella Thorne) é uma jovem de 17 anos que vive protegida dentro de sua casa desde a sua infância. Confinada no local durante os dias, ela possui uma rara doença que faz com que a menor quantidade de luz solar seja mortal. Sua situação muda quando seu destino se cruza com o de Charlie (Patrick Schwarzenegger) e eles iniciam um romance de verão."
Do Jeito que Elas Querem,"Nos arredores da Califórnia, quatro amigas de longa data estão na casa dos 60 anos e decidem ler no clube do livro mensal o romance Cinquenta Tons de Cinza. Esse não é o tipo de livro que elas leem normalmente, o que faz com que a vida dessas mulheres bem-sucedidas e refinadas mude completamente."
Talvez uma História de Amor,"Quando chega em casa, depois de mais um dia corriqueiro no trabalho, Virgílio (Mateus Solano) liga a secretária eletrônica e ouve um recado perturbador. É uma mensagem de Clara (Thaila Ayala), comunicando o término do relacionamento dos dois. Virgílio, contudo, não faz a menor ideia de quem é Clara.  Perturbado devido ao seu jeito metódico e controlador, ele não se lembra de ter se relacionado com ninguém, mas todos ao seu redor pareciam saber do relacionamento dos dois, perguntando como ele está se sentindo com o término. Agora, ele precisa encontrar essa mulher misteriosa."
Baronesa,"Andreia e Leidiane são grandes amigas que moram em casas vizinhas na Vila Mariquinhas, na Zona Norte de Belo Horizonte. Elas trocam confidências, guardam sofrimentos e compartilham laços, mas quando uma guerra entre traficantes deixa o clima tenso, Andreia passa a cogitar ir embora da região."
O Caminho dos Sonhos,"Grécia, 1984. Theres e Kenneth, dois jovens que cantam nas ruas gregas para financiar suas férias, se conhecem e acabam se apaixonando perdidamente. Entretanto, acabam se separando porque precisam voltar para seus respectivos lares. Agora, trinta anos depois, eles se reconectam e algo adormecido desperta em seus corações."
Amores de Chumbo,"Um misterioso triângulo amoroso do passado ressurge anos depois. Miguel (Aderbal Freire Filho) e Lúcia (Augusta Ferraz) estão prestes a comemorar seu aniversário de 40 anos de casamento, mas a chegada de Maria Eugênia (Juliana Carneiro da Cunha) acaba atrapalhando os planos do casal, já que junto com seu retorno, voltam também as memórias dos amores vividos entre Miguel e Maria. Além dos horrores dos anos de chumbo, período da ditadura militar no Brasil."
Em 97 Era Assim,"Quatro garotos de 15 anos só pensam em uma coisa: perder a virgindade. Sem dinheiro para contratarem uma prostituta, os meninos fazem tudo para conseguirem economizar uma grana, enquanto encaram os compromissos do colégio e as tensões da adolescência. Mas, nessa jornada, o que eles realmente vão descobrir é o valor da verdadeira amizade."
Safári,"Em meio a grande selva da África, turistas caçadores alemães e austríacos estão de férias no local. Em meio aos antílopes, zebras e gnus que pastam pela selva, eles ficam na espreita, esperando suas presas. Eles atiram, pulam de emoção e posam para uma foto com o animal abatido. Um documentário sobre a natureza humana e a morte."
Dovlatov,"Mais um aniversário da Revolução Russa está sendo comemorado em 1971, mas o país não apresenta progresso político, econômico ou cultural. Os manuscritos do judeu Sergei Dovlatov (Milan Maric) são rejeitados regularmente pela mídia oficial por ter uma visão indesejada na União Soviética. Outros censurados passam por problemas similares, como seu amigo escritor Joseph Brodsky (Artur Beschastny), que foi exilado à força pelo governo."
Jurassic World: Reino Ameaçado,"Três anos após o fechamento do Jurassic Park, um vulcão prestes a entrar em erupção põe em risco a vida na ilha Nublar. No local não há mais qualquer presença humana, com os dinossauros vivendo livremente. Diante da situação, é preciso tomar uma decisão: deve-se retornar à ilha para salvar os animais ou abandoná-los para uma nova extinção? Decidida a resgatá-los, Claire (Bryce Dallas Howard) convoca Owen (Chris Pratt) a retornar à ilha com ela."
Hereditário,"Após a morte da reclusa avó, a família Graham começa a desvendar algumas coisas. Mesmo após a partida da matriarca, ela permanece como se fosse um sombra sobre a família, especialmente sobre a solitária neta adolescente, Charlie, por quem ela sempre manteve uma fascinação não usual. Com um crescente terror tomando conta da casa, a família explora lugares mais escuros para escapar do infeliz destino que herdaram."
Desobediência,"A fotógrafa Ronit (Rachel Weisz) retorna para a cidade natal pela primeira vez em muitos anos em virtude da morte do pai, um respeitado rabino. Seu afastamento foi bastante abrupto e o reaparecimento é visto com desconfiança na comunidade, mas ela acaba acolhida por um amigo de infância (Alessandro Nivola), para sua surpresa atualmente casado sua paixão de juventude, Esti (Rachel McAdams)."
O Amante Duplo,"Chloé (Marina Vacht) é uma mulher reprimida sexualmente que, constantemente, sente dores na altura do estômago. Acreditando que seu problema seja psicológico, ela busca a ajuda de Paul (Jérémie Renier), um psicólogo. Só que, com o andar as sessões de terapia, eles acabam se apaixonando. Diante da situação, Paul encerra a terapia e indica uma colega para tratá-la. Chloé, no entanto, decide ir a outro profissional."
Canastra Suja,"Batista (Marco Ricca) e Maria (Adriana Esteves) formam um casal que, aparentemente, é muito feliz em seu casamento. No entanto, a verdade é que as aparências enganam e muito; no fundo, Batista, um alcóolatra inveterado e Maria, que tem um caso com o namorado de sua filha mais velha, Emília (Bianca Bin), representam uma família que está à beira da ruína."
Tungstênio,"Salvador, Bahia. O uso de explosivos para pescar na orla atrai a atenção de Ney (José Dumont), um sargento aposentado que não suporta a falta de ordem e respeito ao seu antigo posto. Ao lado de Caju (Wesley Guimarães), ele busca ajuda para prender os pescadores, mas não consegue apoio do exército por ser este um crime ambiental. Após brigar com Ney, Caju liga de um telefone público para o celular do policial Richard (Fabrício Boliveira), que logo corre para o local de forma a prender os meliantes. Paralelamente, Keila (Samira Carvalho), a esposa de Richard, planeja deixá-lo."
Memória Italiana - Histórias em Família,"No fim do século XIX, o estado de São Paulo era um dos maiores produtores de café do Brasil, recebendo a maior parte dos imigrantes italianos para trabalhar nas lavouras do país. Núcleos familiares de imigrantes, especialmente aqueles que se instalaram na região de Ribeirão Preto, contam as histórias de seus feitos conforme sua história se entrelaça com a história de São Paulo e até mesmo do Brasil."
