"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"314573";"EAST SIDE STORY";"GRAFFITTI BUTT!";"2006";"VENA VIRAGO";"F. J. VIDEO LTDA";"53.625.075/0001-24";"17-OCT-08"
"14027958";"FROST / NIXON";"FROST / NIXON";"2008";"RON HOWARD";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"11-FEB-09"
"15009085";"CASE 39";"CASO 39";"2009";"CHRISTIAN ALVART";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"24-AUG-09"
"405715";"XUXA EM O MISTÉRIO DE FEIURINHA";"XUXA EM O MISTÉRIO DE FEIURINHA";"2009";"TIZUKA YAMASAKI";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"05-NOV-09"
"432139";"HIGH SCHOOL MUSICAL - O DESAFIO";"HIGH SCHOOL MUSICAL - O DESAFIO";"2009";"CESAR EDUARDO RODRIGUES DE SOUZA";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"13-JAN-10"
"16005620";"DEAR JOHN";"QUERIDO JOHN";"2010";"LASSE HALLSTROM";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JAN-10"
"438603";"COMO ESQUECER";"COMO ESQUECER";"2009";"MALU DE MARTINO";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"03-SEP-10"
"454282";"CINCO VEZES FAVELA, AGORA POR ELES MESMOS";"CINCO VEZES FAVELA, AGORA POR ELES MESMOS";"2009";"CARLOS JOSE FONTES DIEGUES";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"03-JUN-15"
"457994";"DE NORTE A SUL";"DE NORTE A SUL";"2010";"LUIS ROBERTO ALVARENGA";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"01-OCT-10"
"465343";"DZI CROQUETTES";"DZI CROQUETTES";"2009";"RAPHAEL ALVAREZ FERREIRA";"RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.";"08.346.733/0001-94";"02-JUN-15"
"16006337";"THE RUNAWAYS";"THE RUNAWAYS - GAROTAS DO ROCK";"2009";"FLORIA SIGISMONDI";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"03-JUN-15"
"476716";"THE BIG FOUR";"THE BIG FOUR";"2010";"JULIE BORCHARD";"RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA";"07.949.581/0001-51";"06-JUL-10"
"573777";"ALÉM DA ESTRADA";"ALÉM DA ESTRADA";"2009";"CARLOS BRAUN DE OLIVEIRA SAMPAIO";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"01-JUN-11"
"507994";"VIDA SOBRE RODAS";"VIDA SOBRE RODAS";"2010";"DANIEL FERNANDES BACCARO";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"23-NOV-10"
"519910";"TEENS IN TIGHT JEANS 2";"NINFETAS E SEUS JEANS APERTADOS";"2006";"VINCE VOUYER";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"03-JUN-15"
"15006745";"DES HOMMES ET DES DIEUX";"HOMENS E DEUSES";"2010";"XAVIER BEAUVOIS";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"06-OCT-17"
"16002478";"NEVER LET ME GO";"NÃO ME ABANDONE JAMAIS";"2010";"MARK ROMANEK";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"03-JUN-15"
"540222";"FUTEBOL DE VÁRZEA";"FUTEBOL DE VÁRZEA";"2011";"MARC JEAN MARCEL DOURDIN";"MAMUTE FILMES LTDA-M.E.";"02.028.727/0001-02";"29-JAN-14"
"559283";"O PAÍS DO DESEJO";"O PAÍS DO DESEJO";"2011";"PAULO MAURICIO GERMANY CALDAS";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"19-OCT-12"
"15001937";"HARRY POTTER AND THE DEATHLY HALLOWS, PART 2";"HARRY POTTER E AS RELÍQUIAS DA MORTE, PARTE 2";"2011";"DAVID YATES";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"17-JUN-11"
"16002190";"BAD TEACHER";"PROFESSORA SEM CLASSE";"2011";"JAKE KASDAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"28-JUN-11"
"569916";"HORA 3:00";"HORA 3:00";"2010";"ROBERTO CARMINATI";"INFLUÊNCIA FILMES LTDA. ME";"01.349.050/0001-41";"12-JUL-11"
"16002028";"BRIANNA LOVE OVERSEXED";"SEXO ABUNDANTE";"2006";"MANUEL FERRARA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"03-JUN-15"
"607808";"UM ASSALTO DE FÉ";"UM ASSALTO DE FÉ";"2011";"CIBELE AMARAL CORREIA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"22-NOV-11"
"16002393";"GRITTY";"ME PEGUE COM VONTADE";"2010";"B. SKOW";"F. J. VIDEO LTDA";"53.625.075/0001-24";"03-JUN-15"
"576271";"DESEJOS ARDENTES";"DESEJOS ARDENTES";"2009";"JULIANO COSTA BENDAZOLI";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"19-APR-12"
"582967";"NA QUADRADA DAS AGUAS PERDIDAS";"NA QUADRADA DAS AGUAS PERDIDAS";"2011";"WAGNER MIRANDA LIMA";"ANTONIO M. G. DE CARVALHO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS";"07.947.109/0001-80";"14-DEC-15"
"15008564";"LA PERMISSION DE MINUIT";"A CRIANÇA DA MEIA-NOITE";"2011";"DELPHINE GLEIZE";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"03-JUN-15"
"16002422";"PERVERSE";"SAFADAS INSACIÁVEIS";"2008";"SINCLAIR";"F. J. VIDEO LTDA";"53.625.075/0001-24";"05-DEC-11"
"15004498";"BEAUTY AND THE BEAST";"A BELA E A FERA";"1991";"KIRK WISE";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"03-JUN-15"
"16002408";"SALMON FISHING IN THE YEMEN";"AMOR IMPOSSÍVEL";"2011";"LASSE HALLSTRÖM";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"17-MAY-12"
"680794";"O RENASCIMENTO DO PARTO - O FILME";"O RENASCIMENTO DO PARTO - O FILME";"2013";"EDUARDO HENRIQUE LEON CHAUVET";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"13-JUN-13"
"666432";"GONZAGA - DE PAI PARA FILHO";"GONZAGA - DE PAI PARA FILHO";"2012";"BRENO LUIS MARCAL DA SILVEIRA";"FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.";"07.616.202/0001-01";"03-JUN-15"
"16006015";"LES INFIDÈLIS";"OS INFIÉIS";"2012";"EMMANUELLE BERCOT;JAN KOUNEN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"29-SEP-17"
"657948";"TAINÁ - A ORIGEM";"TAINÁ - A ORIGEM";"2013";"ROSANE SVARTMAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"08-JAN-13"
"16001448";"NEBRASKA";"NEBRASKA";"2013";"ALEXANDER PAYNE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"24-SEP-13"
"16002277";"IT'S A WONDERFUL LIFE";"A FELICIDADE NÃO SE COMPRA";"1946";"FRANK CAPRA";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"05-DEC-14"
"16001200";"DABBA";"LUNCHBOX";"2013";"RITESH BATRA";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"21-JAN-14"
"15006196";"PAIN & GAIN";"SEM DOR, SEM GANHO";"2013";"MICHAEL BAY";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"03-JUN-13"
"16001864";"KON-TIKI";"EXPEDIÇÃO KON TIKI";"2012";"JOACHIM RØNNING, ESPEN SANDBERG";"SERENDIP FILMES LTDA";"06.911.780/0001-08";"13-MAY-13"
"14025183";"STAR TREK INTO THE DARKNESS";"STAR TREK - ALÉM DA ESCURIDÃO";"2013";"J.J. ABRAMS";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"15-APR-13"
"14026734";"IF I STAY";"SE EU FICAR";"2014";"R.J. CUTLER";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"03-JUN-15"
"14024333";"SIN CITY 2: A DAME TO KILL FOR";"SIN CITY 2: A DAMA FATAL";"2014";"ROBERT RODRIGUEZ";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"28-JUL-14"
"16001400";"T & A BUFFET";"DELICIAS SEXUAIS";"2006";"MICHAEL STEFANO";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"22-AUG-13"
"366831";"1983.. O ANO AZUL";"1983.. O ANO AZUL";"2009";"CARLOS GERBASE";"INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.";"90.130.634/0001-51";"24-JUN-09"
"15008395";"THIS IS THE END";"É O FIM";"2013";"SETH ROGEN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"03-JUN-13"
"16001789";"THE DOOR";"ATRÁS DA PORTA";"2012";"ISTVÁN SZABÓ";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"04-MAR-13"
"720574";"ARARAQUARA - MEMÓRIAS DE UMA CIDADE";"ARARAQUARA - MEMÓRIAS DE UMA CIDADE";"2013";"RENATO FORTES BARBIERI";"GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME";"55.084.750/0001-80";"07-JAN-14"
"15001004";"THE ORANGES";"A FILHA DO MEU MELHOR AMIGO";"2011";"JULIAN FARINO";"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA";"12.452.477/0001-97";"06-FEB-13"
"14028210";"WALESA";"WALESA";"2013";"ANDRZEJ WAJDA";" ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP";"11.579.388/0001-43";"28-APR-14"
"157898";"OLHAR ESTRANGEIRO";"OLHAR ESTRANGEIRO";"2005";"LUCIA MURAT";"TAIGA FILMES E VÍDEO LTDA";"73.947.392/0001-74";"25-JAN-07"
"15001767";"MARINA ABRAMOVIC: THE ARTISTS IS PRESENT";"MARINA ABRAMOVIC: UMA ARTISTA PRESENTE";"2012";"MATTHEW AKERS";"BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP";"39.079.678/0001-47";"03-JUL-13"
"15005771";"GANGSTER SQUAD";"CAÇA AOS GANGSTERES";"2013";"RUBEN FLEISCHER";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"27-NOV-12"
"15006167";"NOW YOU SEE ME";"TRUQUE DE MESTRE";"2013";"LOUIS LETERRIER";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"29-APR-13"
"14025162";"LES MISÉRABLES";"OS MISERÁVEIS";"2012";"TOM HOOPER";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"18-MAY-16"
"15001843";"A WALK AMONG THE TOMBSTONES";"CAÇADA MORTAL";"2014";"SCOTT FRANK";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"23-SEP-14"
"8792";"CENTRAL DO BRASIL";"CENTRAL DO BRASIL";"1998";"WALTER SALLES JÚNIOR";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"22-FEB-11"
"174150";"EU SEI QUE VOU TE AMAR";"EU SEI QUE VOU TE AMAR";"1985";"ARNALDO JABOR";"A.J. PRODUÇÕES LTDA.";"05.547.721/0001-30";"20-APR-07"
"167583";"ANAL TOTAL VOL. 08";"ANAL TOTAL VOL. 08";"2004";"LENILDO MAURÍCIO DA SILVA";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"13-MAR-07"
"4881";"VAMPIRES LOS MUERTOS";"A SER DEFINIDO";"2002";"TOMMY LEE WALLACE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-DEC-02"
"7597";"JAN DARA";"O BASTARDO";"2001";"NONZEE NIMIBUTR";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"18-OCT-04"
"15000950";"THE LORD OF THE RINGS: THE TWO TOWERS";"O SENHOR DOS ANÉIS: AS DUAS TORRES";"2002";"PETER JACKSON";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"10-JUL-09"
"14027947";"FINDING NEMO";"PROCURANDO NEMO";"2003";"ANDREW STANTON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"07-JAN-03"
"16000540";"DADDY DAY CARE";"A CRECHE DO PAPAI";"2003";"STEVE CARR";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JAN-03"
"8945";"MATCHSTICK MEN";"OS VIGARISTAS";"2003";"RIDLEY SCOTT";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"16-SEP-03"
"15009208";"WHITE CHICKS";"AS BRANQUELAS";"2004";"KEENEN IVORY WAYANS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-MAR-04"
"15001927";"HARRY POTTER AND THE PRISONER OF AZKABAN";"HARRY POTTER E O PRISIONEIRO DE AZKABAN";"2004";"ALFONSO CUARÓN";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"10-JUL-09"
"1412";"THE PRINCE AND ME";"UM PRÍNCIPE EM MINHA VIDA";"2003";"MARTHA COOLIDGE";"ACTIVITY FILMES DO BRASIL LTDA.";"04.268.162/0001-66";"15-JUL-04"
"4702";"CHICKEN LITTLE";"O GALINHO CHICKEN LITTLE";"2004";"MARK DINDAL";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"23-AUG-04"
"5802";"TEOREMA";"TEOREMA";"1968";"PIER PAOLO PASOLINI";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"27-DEC-04"
"5832";"THE CAMERAMAN";"O HOMEN DAS NOVIDADES";"1928";"EDUARD SEDGWICK / BJUSTER KEATON";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"11-JAN-06"
"10912";"EXTREMO";"EXTREMO";"1997";"WAGNER STANLAY LUZ DE MIRANDA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"01-SEP-05"
"4720";"EL AURA";"EL AURA";"2005";"FABIAN BIELINSKY";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"07-NOV-05"
"29163";"WILBUR BEGAR SELVVMORD";"MEU IRMÃO QUER SE MATAR";"2002";"LONE SCHERFIG";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"02-AUG-06"
"7092";"WONDERLAND";"CRIMES EM WONDERLND";"2003";"JAMES COX";"ECRAN FILMS DO BRASIL DISTRIBUIDORA DE FILMES LTDA";"06.824.603/0001-94";"05-NOV-04"
"116943";"COMEDY OF POWER (AKA: L'IVRESSE DU POUVOIR )";"COMÉDIA DO PODER";"2006";"CLAUDE CHABROL";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"30-AUG-06"
"134737";"2:37";"2:37";"2006";"MURALI K. THALLURI";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"06-NOV-06"
"145680";"SCHOOL OF SCOUNDRELS";"ESCOLA DE IDIOTAS";"2006";"TODD PHILLIPS";"ALIANCE EMPRESA DE AUDIOVISUAL EIRELI";"04.556.166/0001-40";"04-DEC-06"
"161004";"UNIVERSITY OF LAUGHS";"ESCOLA DO RISO";"2004";"MAMORU HOSHI";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"16-FEB-07"
"14024249";"DISTURBIA";"PARANOIA";"2007";"D.J. CARUSO";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"09-MAR-07"
"182416";"FABRICANDO TOM ZÉ";"FABRICANDO TOM ZÉ";"2006";"DECIO PEREIRA DE MATOS JUNIOR";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"17-MAY-07"
"221943";"3 EFES";"3 EFES";"2007";"CARLOS GERBASE";"CASA DE CINEMA DE PORTO ALEGRE LTDA.";"94.625.829/0001-23";"19-OCT-07"
"16000005";"VANTAGE POINT";"PONTO DE VISTA";"2008";"PETE TRAVIS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"24-JAN-08"
"260529";"DECEPTION";"A LISTA";"2008";"MARCEL LANGENEGGER";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"13-NOV-08"
"274374";"DUPLA INVASÃO ESPECIAL";"DUPLA INVASÃO ESPECIAL";"2007";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"09-JUN-08"
"16005455";"QUAND J'ETAIS CHANTEUR";"QUANDO ESTOU AMANDO";"2006";"XAVIER GIANOLLI";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"09-MAY-08"
"278994";"1958 O ANO EM QUE O MUNDO DESCOBRIU O BRASIL";"1958 O ANO EM QUE O MUNDO DESCOBRIU O BRASIL";"2008";"JOSE CARLOS LOPES ASBEG";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"05-AUG-08"
"16005519";"ASTÉRIX AUX JEUX OLYMPIQUES";"ASTERIX NOS JOGOS OLIMPICOS";"2008";"FREDERIC FORESTIER";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"17-JUN-08"
"325191";"BIG MACKY VOLUME 2";"BIG MACKY VOLUME 2";"2008";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"18-DEC-08"
"321243";"2008 CARNAVAL";"2008 CARNAVAL";"2008";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"14-NOV-08"
"321233";"SEGREDOS";"SEGREDOS";"2008";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"14-NOV-08"
"16005526";"BANGKOK DANGEROUS";"PERIGO EM BANGKOK";"2008";"OXIDE PANG E DANNY PANG";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"04-AUG-08"
"16002610";"MAX PAYNE";"MAX PAYNE – SEDE DE VINGANÇA";"2008";"JOHN MOORE";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"20-OCT-08"
"327182";"A MARGEM DA LINHA";"A MARGEM DA LINHA";"2008";"GISELA CALLAS SUCAR";"CINERAMA FILMES-CF LTDA.";"96.496.633/0001-01";"23-DEC-08"
"321719";"SEM FIO";"SEM FIO";"2008";"JULIO RODRIGO TIARAJU CUNHA GAIGER";"LATIN AMERICAN FILM INSTITUTE PRODUÇÕES AUDIOVISUAIS E COMERCIO LTDA";"09.087.848/0001-74";"19-NOV-09"
"16000192";"MADAGASCAR: ESCAPE 2 AFRICA";"MADAGASCAR 2";"2008";"TOM MCGRATH";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"24-NOV-08"
"325074";"AOS HESPANHOIS CONPHINANTES - LONGA METRAGEM";"AOS HESPANHOIS CONPHINANTES - LONGA METRAGEM";"2008";"ANGELO CLEMENTE SGANZERLA";"ACS MULLTIMIDIAX LTDA - ME";"03.418.287/0001-62";"27-AUG-14"
"16005824";"EMPTY NEST";"NINHO VAZIO";"2008";"DANIEL BURMAN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"19-JAN-09"
"338945";"NO HOLES BARRED";"PENETRANDO TODOS OS BURACOS";"2003";"MARK DAVIS";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"16-JAN-09"
"16005570";"CHOKING MAN";"LANCHONETE OLYMPIA";"2006";"STEVE BARRON";"RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA";"07.949.581/0001-51";"25-MAR-09"
"348079";"REVELAÇÕES ANAIS VOLUME 3";"REVELAÇÕES ANAIS VOLUME 3";"2008";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"12-JUN-09"
"418395";"O AMOR SEGUNDO B. SCHIANBERG";"O AMOR SEGUNDO B. SCHIANBERG";"2009";"ROBERTO GARCIA BRANT DE CARVALHO";"SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA)";"01.216.636/0001-38";"11-FEB-10"
"424441";"TERRAS";"TERRAS";"2009";"MAYA WERNECK DA-RIN";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"22-JUN-10"
"437455";"EU E MEU GUARDA-CHUVA";"EU E MEU GUARDA-CHUVA";"2008";"ANTONIO PEDRO VANZOLINI";"CONSPIRAÇÃO FILMES S/A";"02.020.661/0001-04";"07-JUL-10"
"16006262";"SOUL KITCHEN";"SOUL KITCHEN";"2009";"FATIH AKIN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"18-MAR-10"
"442415";"MUITA CALMA NESSA HORA";"MUITA CALMA NESSA HORA";"2009";"FELIPE JOFFILY";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"03-SEP-10"
"16005884";"HADEWIJCH";"HADEWIJCH";"2009";"BRUNO DUMONT";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"05-JUL-10"
"15004268";"STONE";"HOMENS EM FÚRIA";"2010";"JOHN CURRAN";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"18-AUG-10"
"528932";"EXPEDIÇÃO VIVA MARAJO";"EXPEDIÇÃO VIVA MARAJO";"2010";"REGINA SUELI BOUHID JEHA";"LAUPER FILMS LTDA ME";"60.636.537/0001-74";"19-JUN-12"
"545972";"DIÁRIO DE UMA BUSCA";"DIÁRIO DE UMA BUSCA";"2010";"FLAVIA MACEDO E CASTRO";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"03-JUN-15"
"16002463";"NIKKI´S HOUSE";"A MANSÃO DO SEXO";"2010";"B. SKOW";"F. J. VIDEO LTDA";"53.625.075/0001-24";"18-APR-11"
"15004237";"MACHINE GUN PREACHER";"REDENÇAO";"2011";"JASON KELLER";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-JUN-15"
"16002035";"LOUP";"LOUP - UMA AMIZADE PARA SEMPRE";"2009";"NICOLAS VANIER";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"03-JUN-15"
"16002026";"MOMMA KNOWS BEST";"COROAS NOTA 10";"2006";"MR. PETE";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"04-JUL-11"
"16002024";"CONVICTION (AKA BETTY ANNE WATERS)";"A CONDENAÇÃO";"2010";"TINY GOLDWYN";"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA";"12.452.477/0001-97";"02-JUN-15"
"577486";"UMA LONGA VIAGEM";"UMA LONGA VIAGEM";"2011";"LUCIA MARIA MURAT VASCONCELLOS";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"28-FEB-12"
"16002135";"FAIS-MOI PLAISIR";"FAÇA-ME FELIZ";"2009";"EMMANUEL MOURET";"ESTAÇÃO ARTE E EVENTOS LTDA";"03.651.641/0001-02";"18-OCT-11"
"16000656";"TANGLED";"ENROLADOS";"2010";"BYRON HOWARD";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"29-AUG-12"
"16002099";"OUR IDIOT BROTHER";"NOSSO IRMÃO SEM NOÇÃO";"2011";"JESSÉ PERETZ";"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA";"12.452.477/0001-97";"20-APR-15"
"16002083";"UNDERWORLD AWAKENING";"ANJOS DA NOITE - O DESPERTAR";"2012";"MANS MARLIND; BJORN STEIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-DEC-11"
"619181";"POR QUE VOCÊ PARTIU?";"POR QUE VOCÊ PARTIU?";"2012";"ERIC MARDOCHE BELHASSEN";"RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.";"08.346.733/0001-94";"24-JUL-13"
"16001969";"LAST NIGHT";"APENAS UMA NOITE";"2010";"MASSY TADJEDIN";"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA";"12.452.477/0001-97";"29-FEB-12"
"14026038";"DR. SEUSS' THE LORAX";"O LORAX: EM BUSCA DA TRÚFULA PERDIDA";"2012";"KYLE BALDA";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"28-FEB-12"
"16001854";"B LIKE BEAUTIFUL";"BELAS MULHERES LOUCAS POR SEXO";"2007";"ROY ROGERS";"F. J. VIDEO LTDA";"53.625.075/0001-24";"10-AUG-12"
"16001080";"METEORA";"METEORA";"2012";"SPIROS STATHOULOPOULOS";"MOSTRA INTERNACIONAL DE CINEMA LTDA";"52.009.305/0001-68";"26-JUN-14"
"15005658";"AIMER, BOIRE ET CHANTER";"AMAR, BEBER E CANTAR";"2014";"ALAIN RESNAIS";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"24-JUN-14"
"15008441";"PARDÉ";"CORTINAS FECHADAS";"2013";"JAFAR PANAHI";" ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP";"11.579.388/0001-43";"20-APR-15"
"15001102";"300: RISE OF AN EMPIRE";"300: A ASCENSÃO DO IMPÉRIO";"2014";"NOAM MURRO";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"27-JAN-14"
"14025115";"LOVE STORY";"LOVE STORY - UMA HISTÓRIA DE AMOR";"1970";"ARTHUR HILLER";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"07-OCT-14"
"720496";"PERNAMCUBANOS - O CARIBE QUE NOS UNE";"PERNAMCUBANOS - O CARIBE QUE NOS UNE";"2012";"NILTON PEREIRA";"CENTRO DE CULTURA LUIZ FREIRE";"10.400.661/0001-68";"15-APR-14"
"15004026";"HERMANO";"HERMANO";"2010";"MARCEL RASQUIN";"FREDERICO DA CRUZ MACHADO - ME";"03.553.092/0001-25";"30-JUN-14"
